Entity,Code,Year,"Population, total","Population, medium projection (Projected)"
Afghanistan,AFG,2023,41454762,
Albania,ALB,2023,2811660,
Algeria,DZA,2023,46164222,
Andorra,AND,2023,80869,
Angola,AGO,2023,36749909,
Antigua and Barbuda,ATG,2023,93331,
Argentina,ARG,2023,45538402,
Armenia,ARM,2023,2943398,
Australia,AUS,2023,26451126,
Austria,AUT,2023,9130434,
Azerbaijan,AZE,2023,10318209,
Bahamas,BHS,2023,399452,
Bahrain,BHR,2023,1569674,
Bangladesh,BGD,2023,171466986,
Barbados,BRB,2023,282347,
Belarus,BLR,2023,9115679,
Belgium,BEL,2023,11712891,
Belize,BLZ,2023,411112,
Benin,BEN,2023,14111035,
Bhutan,BTN,2023,786386,
Bolivia,BOL,2023,12244161,
Bosnia and Herzegovina,BIH,2023,3185072,
Botswana,BWA,2023,2480242,
Brazil,BRA,2023,211140731,
Brunei,BRN,2023,458959,
Bulgaria,BGR,2023,6795805,
Burkina Faso,BFA,2023,23025777,
Burundi,BDI,2023,13689455,
Cambodia,KHM,2023,17423884,
Cameroon,CMR,2023,28372690,
Canada,CAN,2023,39299098,
Cape Verde,CPV,2023,522335,
Central African Republic,CAF,2023,5152415,
Chad,TCD,2023,19319075,
Chile,CHL,2023,19658833,
China,CHN,2023,1422584930,
Colombia,COL,2023,52321152,
Comoros,COM,2023,850390,
Congo,COG,2023,6182890,
Costa Rica,CRI,2023,5105526,
Cote d'Ivoire,CIV,2023,31165653,
Croatia,HRV,2023,3896023,
Cuba,CUB,2023,11019932,
Cyprus,CYP,2023,1344981,
Czechia,CZE,2023,10809722,
Democratic Republic of Congo,COD,2023,105789733,
Denmark,DNK,2023,5948134,
Djibouti,DJI,2023,1152951,
Dominica,DMA,2023,66531,
Dominican Republic,DOM,2023,11331269,
East Timor,TLS,2023,1384292,
Ecuador,ECU,2023,17980079,
Egypt,EGY,2023,114535772,
El Salvador,SLV,2023,6309629,
Equatorial Guinea,GNQ,2023,1847556,
Eritrea,ERI,2023,3470391,
Estonia,EST,2023,1367195,
Eswatini,SWZ,2023,1230507,
Ethiopia,ETH,2023,128691695,
Fiji,FJI,2023,924150,
Finland,FIN,2023,5601185,
France,FRA,2023,66438828,
French Guiana,GUF,2023,303408,
Gabon,GAB,2023,2484790,
Gambia,GMB,2023,2697846,
Georgia,GEO,2023,3807494,
Germany,DEU,2023,84548233,
Ghana,GHA,2023,33787916,
Greece,GRC,2023,10242910,
Greenland,GRL,2023,55951,
Grenada,GRD,2023,117094,
Guatemala,GTM,2023,18124841,
Guinea,GIN,2023,14405469,
Guinea-Bissau,GNB,2023,2153343,
Guyana,GUY,2023,826357,
Haiti,HTI,2023,11637402,
Honduras,HND,2023,10644853,
Hungary,HUN,2023,9686465,
Iceland,ISL,2023,387559,
India,IND,2023,1438069597,
Indonesia,IDN,2023,281190068,
Iran,IRN,2023,90608708,
Iraq,IRQ,2023,45074055,
Ireland,IRL,2023,5196629,
Israel,ISR,2023,9256311,
Italy,ITA,2023,59499452,
Jamaica,JAM,2023,2839785,
Japan,JPN,2023,124370947,
Jordan,JOR,2023,11439220,
Kazakhstan,KAZ,2023,20330109,
Kenya,KEN,2023,55339007,
Kiribati,KIR,2023,132540,
Kosovo,OWID_KOS,2023,1700039,
Kuwait,KWT,2023,4838781,
Kyrgyzstan,KGZ,2023,7073523,
Laos,LAO,2023,7665001,
Latvia,LVA,2023,1882399,
Lebanon,LBN,2023,5773494,
Lesotho,LSO,2023,2311476,
Liberia,LBR,2023,5493035,
Libya,LBY,2023,7305659,
Liechtenstein,LIE,2023,39622,
Lithuania,LTU,2023,2854104,
Luxembourg,LUX,2023,665101,
Madagascar,MDG,2023,31195937,
Malawi,MWI,2023,21104480,
Malaysia,MYS,2023,35126295,
Maldives,MDV,2023,526009,
Mali,MLI,2023,23769130,
Malta,MLT,2023,532964,
Marshall Islands,MHL,2023,38849,
Mauritania,MRT,2023,5022442,
Mauritius,MUS,2023,1273591,
Mexico,MEX,2023,129739761,
Micronesia (country),FSM,2023,112646,
Moldova,MDA,2023,3067072,
Monaco,MCO,2023,38979,
Mongolia,MNG,2023,3431938,
Montenegro,MNE,2023,633553,
Morocco,MAR,2023,37712516,
Mozambique,MOZ,2023,33635163,
Myanmar,MMR,2023,54133800,
Namibia,NAM,2023,2963102,
Nauru,NRU,2023,11900,
Nepal,NPL,2023,29694614,
Netherlands,NLD,2023,18092526,
New Caledonia,NCL,2023,289879,
New Zealand,NZL,2023,5172837,
Nicaragua,NIC,2023,6823619,
Niger,NER,2023,26159863,
Nigeria,NGA,2023,227882949,
North Korea,PRK,2023,26418196,
North Macedonia,MKD,2023,1831800,
Norway,NOR,2023,5519167,
Oman,OMN,2023,5049267,
Pakistan,PAK,2023,247504505,
Palau,PLW,2023,17751,
Palestine,PSE,2023,5409201,
Panama,PAN,2023,4458758,
Papua New Guinea,PNG,2023,10389638,
Paraguay,PRY,2023,6844150,
Peru,PER,2023,33845616,
