Entity,Code,Year,GDP per capita,900793-annotations,time
Afghanistan,AFG,2022,1357.9878,,2022
Albania,ALB,2022,12978.101,,2022
Algeria,DZA,2022,13506.444,,2022
Angola,AGO,2022,6118.905,,2022
Argentina,ARG,2022,18292.318,,2022
Armenia,ARM,2022,13837.577,,2022
Australia,AUS,2022,52049.43,,2022
Austria,AUT,2022,43792.855,,2022
Azerbaijan,AZE,2022,17682.94,,2022
Bahrain,BHR,2022,38651.6,,2022
Bangladesh,BGD,2022,4925.721,,2022
Barbados,BRB,2022,11545.848,,2022
Belarus,BLR,2022,18699.799,,2022
Belgium,BEL,2022,41872.395,,2022
Benin,BEN,2022,2477.0903,,2022
Bolivia,BOL,2022,6481.3906,,2022
Bosnia and Herzegovina,BIH,2022,12142.863,,2022
Botswana,BWA,2022,16351.91,,2022
Brazil,BRA,2022,14640.076,,2022
Bulgaria,BGR,2022,20592.455,,2022
Burkina Faso,BFA,2022,1704.966,,2022
Burundi,BDI,2022,717.22845,,2022
Cambodia,KHM,2022,3944.2468,,2022
Cameroon,CMR,2022,2812.2148,,2022
Canada,CAN,2022,45529.645,,2022
Cape Verde,CPV,2022,7202.767,,2022
Central African Republic,CAF,2022,596.393,,2022
Chad,TCD,2022,1393.5635,,2022
Chile,CHL,2022,22740.72,,2022
China,CHN,2022,19238.18,,2022
Colombia,COL,2022,14468.964,,2022
Comoros,COM,2022,1900.3983,,2022
Congo,COG,2022,4187.507,,2022
Costa Rica,CRI,2022,15496.82,,2022
Cote d'Ivoire,CIV,2022,4011.7122,,2022
Croatia,HRV,2022,26986.752,,2022
Cuba,CUB,2022,7648.704,,2022
Cyprus,CYP,2022,31523.498,,2022
Czechia,CZE,2022,32247.395,,2022
Democratic Republic of Congo,COD,2022,844.172,,2022
Denmark,DNK,2022,50689.68,,2022
Djibouti,DJI,2022,3623.0603,,2022
Dominica,DMA,2022,8879.6455,,2022
Dominican Republic,DOM,2022,17713.52,,2022
Ecuador,ECU,2022,10124.076,,2022
Egypt,EGY,2022,13205.406,,2022
El Salvador,SLV,2022,9218.905,,2022
Equatorial Guinea,GNQ,2022,22707.22,,2022
Estonia,EST,2022,30067.395,,2022
Eswatini,SWZ,2022,8522.45,,2022
Ethiopia,ETH,2022,2289.409,,2022
Finland,FIN,2022,40701.465,,2022
France,FRA,2022,39065.71,,2022
Gabon,GAB,2022,15720.901,,2022
Gambia,GMB,2022,2010.5322,,2022
Georgia,GEO,2022,14360.359,,2022
Germany,DEU,2022,46647.793,,2022
Ghana,GHA,2022,4242.4106,,2022
Greece,GRC,2022,25283.906,,2022
Guatemala,GTM,2022,7969.431,,2022
Guinea,GIN,2022,1809.2666,,2022
Guinea-Bissau,GNB,2022,1625.3876,,2022
Haiti,HTI,2022,1546.4222,,2022
Honduras,HND,2022,5186.5303,,2022
Hungary,HUN,2022,29451.855,,2022
